county_id,ideb_score,ideb_publication_year,ideb_score_status
1101302,4.3,2011,Observado
1101302,5.5,2013,Observado
1101302,5.6,2015,Observado
1101302,5.3,2017,Observado
1101302,5.1,2019,Observado
1101401,3.7,2007,Projetado
1101401,4,2009,Projetado
1101401,4.4,2011,Projetado
1101401,4.7,2013,Projetado
1101401,5,2015,Projetado
1101401,5.3,2017,Projetado
1101401,5.6,2019,Projetado
1101401,5.8,2021,Projetado
1101401,3.6,2005,Observado
1101401,3.9,2007,Observado
1101401,3.8,2009,Observado
1101401,4.5,2011,Observado
1101401,5.1,2013,Observado
1101401,4.8,2015,Observado
1101401,5.3,2017,Observado
1101401,4.7,2019,Observado
1101435,3.1,2007,Projetado
1101435,3.4,2009,Projetado
1101435,3.8,2011,Projetado
1101435,4.1,2013,Projetado
1101435,4.4,2015,Projetado
1101435,4.7,2017,Projetado
1101435,5,2019,Projetado
1101435,5.3,2021,Projetado
1101435,3,2005,Observado
1101435,3.5,2007,Observado
1101435,3.5,2009,Observado
1101435,4.5,2011,Observado
1101435,5.5,2013,Observado
1101435,5.4,2015,Observado
1101435,5.4,2017,Observado
1101435,5.5,2019,Observado
1101450,3.5,2007,Projetado
1101450,3.9,2009,Projetado
1101450,4.3,2011,Projetado
1101450,4.6,2013,Projetado
1101450,4.8,2015,Projetado
1101450,5.1,2017,Projetado
1101450,5.4,2019,Projetado
1101450,5.7,2021,Projetado
1101450,3.5,2005,Observado
1101450,3.6,2007,Observado
1101450,3.4,2009,Observado
1101450,3.5,2011,Observado
1101450,4.3,2013,Observado
1101450,4.8,2015,Observado
1101450,5.3,2017,Observado
1101450,4.1,2019,Observado
1101468,3.4,2007,Projetado
1101468,3.8,2009,Projetado
1101468,4.2,2011,Projetado
1101468,4.5,2013,Projetado
1101468,4.7,2015,Projetado
1101468,5,2017,Projetado
1101468,5.3,2019,Projetado
1101468,5.6,2021,Projetado
1101468,3.3,2005,Observado
1101468,3.3,2007,Observado
1101468,4.5,2009,Observado
1101468,4.2,2011,Observado
1101468,5.6,2013,Observado
1101468,5.8,2015,Observado
1101468,6.3,2017,Observado
1101468,5,2019,Observado
1101476,3.8,2007,Projetado
1101476,4.2,2009,Projetado
1101476,4.6,2011,Projetado
1101476,4.9,2013,Projetado
1101476,5.2,2015,Projetado
1101476,5.4,2017,Projetado
1101476,5.7,2019,Projetado
1101476,6,2021,Projetado
1101476,3.8,2005,Observado
1101476,3.7,2007,Observado
1101476,4.5,2009,Observado
1101476,5.5,2011,Observado
1101476,5.5,2013,Observado
1101476,5.2,2015,Observado
1101476,5.1,2017,Observado
1101476,5.6,2019,Observado
1101484,4,2007,Projetado
1101484,4.3,2009,Projetado
1101484,4.7,2011,Projetado
1101484,5,2013,Projetado
1101484,5.3,2015,Projetado
1101484,5.6,2017,Projetado
1101484,5.9,2019,Projetado
1101484,6.1,2021,Projetado
1101484,3.9,2005,Observado
1101484,3.5,2007,Observado
1101484,4.5,2009,Observado
1101484,4.5,2011,Observado
1101484,5.1,2013,Observado
1101484,5.2,2015,Observado
1101484,5.7,2017,Observado
1101484,5.5,2019,Observado
1101492,2.9,2007,Projetado
1101492,3.3,2009,Projetado
1101492,3.7,2011,Projetado
1101492,4,2013,Projetado
1101492,4.2,2015,Projetado
1101492,4.5,2017,Projetado
1101492,4.8,2019,Projetado
1101492,5.2,2021,Projetado
1101492,2.9,2005,Observado
1101492,3.7,2007,Observado
1101492,3.7,2009,Observado
1101492,4.9,2011,Observado
1101492,4.8,2013,Observado
1101492,5.3,2015,Observado
1101492,5.9,2017,Observado
1101492,5.4,2019,Observado
1101500,3.8,2007,Projetado
1101500,4.1,2009,Projetado
1101500,4.5,2011,Projetado
1101500,4.8,2013,Projetado
1101500,5.1,2015,Projetado
1101500,5.4,2017,Projetado
1101500,5.6,2019,Projetado
1101500,5.9,2021,Projetado
1101500,3.7,2005,Observado
1101500,4.2,2007,Observado
1101500,4.3,2009,Observado
1101500,4.1,2011,Observado
1101500,4.4,2013,Observado
1101500,5.2,2015,Observado
1101500,5.7,2017,Observado
1101500,4.8,2019,Observado
1101559,3.3,2007,Projetado
1101559,3.7,2009,Projetado
1101559,4.1,2011,Projetado
1101559,4.4,2013,Projetado
1101559,4.7,2015,Projetado
1101559,5,2017,Projetado
1101559,5.3,2019,Projetado
1101559,5.5,2021,Projetado
1101559,3.3,2005,Observado
1101559,4,2007,Observado
1101559,4.2,2009,Observado
1101559,5.2,2011,Observado
1101559,5.7,2013,Observado
1101559,6.1,2015,Observado
1101559,6,2017,Observado
1101559,5.5,2019,Observado
1101609,3.4,2007,Projetado
1101609,3.8,2009,Projetado
1101609,4.2,2011,Projetado
1101609,4.5,2013,Projetado
1101609,4.8,2015,Projetado
1101609,5.1,2017,Projetado
1101609,5.3,2019,Projetado
1101609,5.6,2021,Projetado
1101609,3.4,2005,Observado
1101609,4.1,2007,Observado
1101609,4.4,2009,Observado
1101609,5.5,2011,Observado
1101609,5,2013,Observado
1101609,6,2015,Observado
1101609,6.4,2017,Observado
1101609,5.6,2019,Observado
1101708,3.9,2007,Projetado
1101708,4.3,2009,Projetado
1101708,4.7,2011,Projetado
1101708,5,2013,Projetado
1101708,5.2,2015,Projetado
1101708,5.5,2017,Projetado
1101708,5.8,2019,Projetado
1101708,6.1,2021,Projetado
1101708,3.9,2005,Observado
1101708,4.1,2007,Observado
1101708,4.7,2009,Observado
1101708,5,2011,Observado
